Symbol,Date,Open,High,Low,Close,Adj Close,Volume
itc,02-07-2019,275.350006,282.899994,268,277.450012,263.881622,87011421
itc,09-07-2019,276.950012,277.549988,270.549988,270.950012,257.699493,43278570
itc,16-07-2019,271,275.100006,264,264.399994,251.469803,43252292
itc,23-07-2019,265.5,273.350006,265,267.75,254.655991,54452849
itc,30-07-2019,268,271.100006,257.649994,259.799988,247.094757,53256380
itc,06-08-2019,258.75,261.5,253,254.199997,241.768631,34196559
itc,13-08-2019,253.800003,257.299988,244,251.550003,239.24823,57663910
itc,20-08-2019,251.600006,251.949997,234.649994,242.5,230.640808,69546984
itc,27-08-2019,243.949997,247.649994,239.050003,245.649994,233.636749,46301758
itc,03-09-2019,244.449997,246.899994,240.649994,245.5,233.494095,42820129
itc,10-09-2019,245.5,245.5,238.300003,239.399994,227.692398,38169029
itc,17-09-2019,239.800003,260.5,234.050003,254.850006,242.386856,154720370
itc,24-09-2019,255,260.799988,242.699997,259.850006,247.142334,93735923
itc,01-10-2019,259.100006,263.899994,250.699997,251.899994,239.5811,67145868
itc,08-10-2019,251.899994,252.199997,241.100006,244.100006,232.162567,85584827
itc,15-10-2019,245.050003,249.199997,242.149994,246.5,234.44519,52535638
itc,22-10-2019,245,257.200012,244.949997,247.699997,235.586502,83621355
itc,29-10-2019,250.949997,264.950012,249.550003,260.75,247.998306,83350573
itc,05-11-2019,261,266.299988,258.600006,259.450012,246.761902,53062719
itc,12-11-2019,259.450012,259.450012,248.75,250.75,238.48735,43756474
itc,19-11-2019,251.75,252.649994,245.050003,247.75,235.634064,59481345
itc,26-11-2019,248.649994,250.399994,244.550003,244.949997,232.970993,59393011
itc,03-12-2019,244.949997,247.5,241,241.449997,229.642151,48438787
itc,10-12-2019,241.600006,243.399994,235,236.899994,225.314667,59706835
itc,17-12-2019,237.5,247.899994,237.5,238.899994,227.216858,75436102
itc,24-12-2019,239,240.899994,236.350006,238.199997,226.551086,44242148
itc,31-12-2019,238.550003,238.949997,237.399994,237.699997,226.075546,7142051
hdfc_bank,01-01-2019,1063.819946,1075.5,1051.5,1060.319946,1051.430298,19976734
hdfc_bank,08-01-2019,1061,1062,1046.319946,1050.819946,1042.009888,17933414
hdfc_bank,15-01-2019,1052.530029,1083.25,1051,1074.069946,1065.065063,20674862
hdfc_bank,22-01-2019,1073,1073.400024,1038.380005,1042.069946,1033.333252,26577754
hdfc_bank,29-01-2019,1039.119995,1058.5,1011,1052.449951,1043.626343,36724414
hdfc_bank,05-02-2019,1054,1072.469971,1048.5,1069.819946,1060.850708,23027644
hdfc_bank,12-02-2019,1069,1077.5,1039.099976,1044.949951,1036.189087,21104896
hdfc_bank,19-02-2019,1044.849976,1064.969971,1039.099976,1062.699951,1053.790283,16226992
hdfc_bank,26-02-2019,1055.619995,1062.5,1036.599976,1041.680054,1032.946655,18817912
hdfc_bank,05-03-2019,1044.449951,1071.849976,1035,1064.219971,1055.297607,23388870
hdfc_bank,12-03-2019,1073.5,1145.819946,1068.5,1130.719971,1121.240112,57382656
hdfc_bank,19-03-2019,1134.75,1153.5,1125.5,1140.650024,1131.086914,31636562
hdfc_bank,26-03-2019,1137.949951,1166,1136.300049,1155.900024,1146.208984,33410260
hdfc_bank,02-04-2019,1160,1161.469971,1140,1144.699951,1135.102905,21265406
hdfc_bank,09-04-2019,1148.300049,1151.5,1115.5,1144.400024,1134.80542,73544912
hdfc_bank,16-04-2019,1145.469971,1162.5,1130.5,1134.349976,1124.839722,19934526
hdfc_bank,23-04-2019,1138.780029,1149.400024,1120.800049,1140.469971,1130.908325,28715366
hdfc_bank,30-04-2019,1142.5,1189,1139.199951,1164.219971,1154.459229,27902874
hdfc_bank,07-05-2019,1175.949951,1179,1135.800049,1143.599976,1134.012085,26340984
hdfc_bank,14-05-2019,1148.349976,1219.349976,1137.780029,1216.180054,1205.983765,29979820
hdfc_bank,21-05-2019,1219,1224.699951,1159.550049,1204.180054,1194.084351,40267828
hdfc_bank,28-05-2019,1208.25,1232.5,1178.400024,1228.550049,1218.25,26232598
hdfc_bank,04-06-2019,1227.5,1235,1204.5,1220.099976,1209.870728,18562992
hdfc_bank,11-06-2019,1225.75,1229.949951,1207.969971,1211,1200.847046,25143400
hdfc_bank,18-06-2019,1209,1222.449951,1202,1208.969971,1198.834106,27250340
hdfc_bank,25-06-2019,1209.930054,1247.25,1201.5,1242.780029,1240.020264,30296838
hdfc_bank,02-07-2019,1244,1251.650024,1198.530029,1204.800049,1202.124634,22447124
hdfc_bank,09-07-2019,1201.930054,1209,1183.119995,1197.380005,1194.721069,27179444
hdfc_bank,16-07-2019,1209,1214.5,1140.619995,1148.619995,1146.069336,31221706
hdfc_bank,23-07-2019,1147.25,1157.719971,1111.530029,1122.150024,1119.658203,43717466
hdfc_bank,30-07-2019,1127.5,1135.599976,1081.25,1089.619995,1087.200317,45087814
hdfc_bank,06-08-2019,1083.5,1144.5,1082.5,1141,1141,46894394
hdfc_bank,13-08-2019,1136.650024,1136.650024,1100.849976,1103.430054,1103.430054,26719940
hdfc_bank,20-08-2019,1104.619995,1133.069946,1069.800049,1128.069946,1128.069946,40057604
hdfc_bank,27-08-2019,1128,1136.449951,1110.150024,1113.969971,1113.969971,34170228
hdfc_bank,03-09-2019,1110,1137,1098.069946,1124.800049,1124.800049,33649520
hdfc_bank,10-09-2019,1124.800049,1144.400024,1119,1122.069946,1122.069946,29871470
hdfc_bank,17-09-2019,1123.949951,1282.699951,1084,1257.25,1257.25,61155097
hdfc_bank,24-09-2019,1250,1275,1216.5,1227.449951,1227.449951,51375606
hdfc_bank,01-10-2019,1231.5,1255,1181.150024,1186.900024,1186.900024,37992040
hdfc_bank,08-10-2019,1186.900024,1229.900024,1186.900024,1204.400024,1204.400024,29219124
hdfc_bank,15-10-2019,1207,1235,1206.849976,1229,1229,21232305
hdfc_bank,22-10-2019,1257,1257,1220,1229,1229,29023780
hdfc_bank,29-10-2019,1238,1263.900024,1227.099976,1236.849976,1236.849976,30454538
hdfc_bank,05-11-2019,1241,1269.699951,1228.050049,1264.75,1264.75,34499643
hdfc_bank,12-11-2019,1264.75,1285,1253.599976,1262.050049,1262.050049,19379009
hdfc_bank,19-11-2019,1265.300049,1287,1261.099976,1271.099976,1271.099976,24612964
hdfc_bank,26-11-2019,1278.449951,1285.75,1252,1265.75,1265.75,27588269
hdfc_bank,03-12-2019,1268.199951,1269,1234.199951,1242.949951,1242.949951,26600007
hdfc_bank,10-12-2019,1251,1272.349976,1242.5,1257.349976,1257.349976,28429726
hdfc_bank,17-12-2019,1260,1305.5,1255.349976,1302.400024,1302.400024,34057364
